,AGENCY,PDATE,DDATE,LOR,MIN_DAILY_FARE,AVG_DAILY_FARE,MONTH_PDATE,DAY_PDATE
8999,ZR,2019-01-04,2019-01-09,5,25.044,36.200187845304,01,04
2135,ET,2019-01-04,2019-01-05,1,23.93,68.785291262136,01,04
12443,ZI,2019-01-04,2019-01-08,4,23.3775,46.685134493671,01,04
1808,AL,2019-01-04,2019-01-13,9,21.02777778,58.966390422569,01,04
7346,ET,2019-01-04,2019-01-11,7,20.34857143,50.437649900056,01,04
10720,ET,2019-01-04,2019-01-09,5,27.956,68.72384109589,01,04
12390,ZD,2019-01-04,2019-01-05,1,22.54,53.368172920065,01,04
3894,ZE,2019-01-04,2019-01-13,9,20.95888889,61.753522621745006,01,04
7340,ZE,2019-01-04,2019-01-07,3,24.96666667,60.954864057015,01,04
1994,ZD,2019-01-04,2019-01-07,3,22.54666667,55.85220010927,01,04
3895,ZI,2019-01-04,2019-01-13,9,26.3,53.958929348964006,01,04
8990,ZD,2019-01-04,2019-01-08,4,22.5475,59.386653481013,01,04
387,ZI,2019-01-04,2019-01-06,2,25.81,78.461808510638,01,04
388,ZE,2019-01-04,2019-01-06,2,24.97,74.624925373134,01,04
2144,AL,2019-01-04,2019-01-10,6,25.59666667,56.866652892507,01,04
12371,ET,2019-01-04,2019-01-07,3,23.98,65.839214717249,01,04
391,ZL,2019-01-04,2019-01-05,1,53.05,95.5875,01,04
12386,ET,2019-01-04,2019-01-10,6,23.885,58.161485607911,01,04
2136,ZE,2019-01-04,2019-01-05,1,24.97,72.621002971768,01,04
12400,ZT,2019-01-04,2019-01-09,5,24.966,36.133068870523,01,04
7327,ZR,2019-01-04,2019-01-05,1,18.76,48.589299674267,01,04
8982,ZD,2019-01-04,2019-01-12,8,26.52875,49.538710601718996,01,04
446,ZE,2019-01-04,2019-01-09,5,30.504,60.621791666667,01,04
7321,AL,2019-01-04,2019-01-06,2,22.42,65.36153947368399,01,04
12432,AL,2019-01-04,2019-01-12,8,21.55,59.378303072626,01,04
8991,ZT,2019-01-04,2019-01-08,4,18.705,37.095955414013,01,04
10704,ZL,2019-01-04,2019-01-13,9,54.85555556,83.1436477425,01,04
12415,ZL,2019-01-04,2019-01-06,2,53.065,97.58492105263201,01,04
7368,ZR,2019-01-04,2019-01-13,9,16.95555556,37.673800681003,01,04
5577,ZI,2019-01-04,2019-01-07,3,23.37666667,63.898543046092996,01,04
5576,ZL,2019-01-04,2019-01-07,3,53.06,102.288066996738,01,04
7345,ZD,2019-01-04,2019-01-11,7,27.19571429,49.628900459358995,01,04
8947,ZT,2019-01-04,2019-01-13,9,16.89888889,38.463160972382,01,04
12402,ZE,2019-01-04,2019-01-11,7,22.14714286,46.667060755559994,01,04
7326,ZT,2019-01-04,2019-01-05,1,18.71,38.291129296236,01,04
12401,ZT,2019-01-04,2019-01-11,7,18.17285714,39.930912119213,01,04
430,ZD,2019-01-04,2019-01-13,9,26.00777778,49.585670392486,01,04
12431,ZI,2019-01-04,2019-01-12,8,26.82125,54.401264409222,01,04
5677,ZI,2019-01-05,2019-01-07,2,23.38,64.012002840909,01,05
10610,ZL,2019-01-05,2019-01-06,1,53.05,89.82158146964899,01,05
9024,ZT,2019-01-05,2019-01-13,8,17.45625,38.66505387931,01,05
9018,ZT,2019-01-05,2019-01-14,9,16.89888889,33.471107954858,01,05
9012,ZT,2019-01-05,2019-01-09,4,18.705,30.682674603175002,01,05
9011,ET,2019-01-05,2019-01-09,4,23.99,63.456293650794,01,05
9039,ZT,2019-01-05,2019-01-07,2,18.71,32.7218,01,05
475,ZL,2019-01-05,2019-01-07,2,53.065,92.044615384615,01,05
8984,ZR,2019-01-05,2019-01-12,7,18.22857143,34.835974026364,01,05
8983,ET,2019-01-05,2019-01-11,6,23.885,56.972954755457,01,05
